Step       0 (bc0.0)s   | [R_te] min: -1.23           max: 1.41           Avg: -0.22 (0.22)        | [MSE_tr]  0.8095    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step   54000 (bc18.3)s  | [R_te] min: 2838.82         max: 2954.04        Avg: 2920.50 (10.36)     | [MSE_tr]  0.3938    | w_noise: [0.022 0.026 0.038 0.131 0.283 0.650 0.856 1.265 1.491 2.080]
Step   55000 (bc18.3)s  | [R_te] min: 2930.22         max: 2996.50        Avg: 2970.26 (5.55)      | [MSE_tr]  0.3921    | w_noise: [0.022 0.026 0.038 0.130 0.283 0.651 0.859 1.256 1.489 2.069]
Step   56000 (bc18.4)s  | [R_te] min: 2821.94         max: 2899.44        Avg: 2870.05 (7.90)      | [MSE_tr]  0.3924    | w_noise: [0.022 0.026 0.038 0.131 0.283 0.647 0.859 1.262 1.487 2.070]
Step   57000 (bc18.2)s  | [R_te] min: 2411.25         max: 2845.62        Avg: 2759.44 (37.79)     | [MSE_tr]  0.3918    | w_noise: [0.022 0.026 0.038 0.131 0.282 0.646 0.857 1.257 1.480 2.067]
Step   58000 (bc18.3)s  | [R_te] min: 2378.61         max: 2918.07        Avg: 2827.00 (47.81)     | [MSE_tr]  0.3911    | w_noise: [0.022 0.026 0.038 0.131 0.282 0.646 0.865 1.258 1.480 2.070]
Step   59000 (bc18.4)s  | [R_te] min: 2658.68         max: 2960.58        Avg: 2903.02 (26.59)     | [MSE_tr]  0.3905    | w_noise: [0.022 0.026 0.038 0.131 0.281 0.646 0.860 1.262 1.483 2.067]
Step   60000 (bc18.2)s  | [R_te] min: 2877.98         max: 2944.34        Avg: 2920.96 (6.87)      | [MSE_tr]  0.3896    | w_noise: [0.022 0.026 0.038 0.131 0.281 0.646 0.861 1.251 1.484 2.079]
Step   61000 (bc18.3)s  | [R_te] min: 2549.02         max: 2857.39        Avg: 2804.89 (27.70)     | [MSE_tr]  0.3908    | w_noise: [0.022 0.026 0.038 0.131 0.283 0.649 0.860 1.254 1.486 2.065]
Step   62000 (bc18.2)s  | [R_te] min: 2303.44         max: 2969.05        Avg: 2860.98 (59.42)     | [MSE_tr]  0.3884    | w_noise: [0.022 0.026 0.038 0.131 0.283 0.648 0.856 1.257 1.484 2.073]
Step   63000 (bc18.4)s  | [R_te] min: 930.95          max: 2788.38        Avg: 2544.10 (170.37)    | [MSE_tr]  0.3887    | w_noise: [0.022 0.026 0.038 0.131 0.282 0.649 0.854 1.258 1.485 2.073]
Step   64000 (bc18.3)s  | [R_te] min: 2882.09         max: 2958.45        Avg: 2911.68 (6.06)      | [MSE_tr]  0.3866    | w_noise: [0.022 0.026 0.038 0.131 0.282 0.649 0.852 1.261 1.485 2.072]
Step   65000 (bc18.2)s  | [R_te] min: 2420.37         max: 2847.71        Avg: 2716.01 (41.50)     | [MSE_tr]  0.3871    | w_noise: [0.022 0.026 0.038 0.131 0.282 0.647 0.852 1.266 1.487 2.065]
Step   66000 (bc18.4)s  | [R_te] min: 2399.68         max: 2885.62        Avg: 2792.73 (42.32)     | [MSE_tr]  0.3885    | w_noise: [0.022 0.026 0.038 0.131 0.282 0.646 0.851 1.261 1.485 2.057]
Step   67000 (bc18.3)s  | [R_te] min: 2761.25         max: 2902.47        Avg: 2855.24 (13.70)     | [MSE_tr]  0.3879    | w_noise: [0.022 0.026 0.038 0.132 0.282 0.648 0.858 1.251 1.488 2.060]
Step   68000 (bc18.3)s  | [R_te] min: 2894.76         max: 2951.09        Avg: 2926.87 (6.31)      | [MSE_tr]  0.3859    | w_noise: [0.022 0.026 0.038 0.131 0.281 0.645 0.863 1.253 1.484 2.071]
Step   69000 (bc18.3)s  | [R_te] min: 2864.39         max: 2950.90        Avg: 2907.59 (8.71)      | [MSE_tr]  0.3869    | w_noise: [0.022 0.026 0.038 0.131 0.281 0.644 0.861 1.256 1.483 2.063]
