Step   37000 (bc16.4)s  | [R_te] min: 2239.75         max: 4073.72        Avg: 3734.92 (164.18)    | [MSE_tr]  0.1595    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.140 0.202 0.278 0.389]
Step   38000 (bc16.8)s  | [R_te] min: 1172.61         max: 4035.94        Avg: 3497.35 (288.33)    | [MSE_tr]  0.1588    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.141 0.202 0.277 0.390]
Step   39000 (bc16.9)s  | [R_te] min: 749.50          max: 3914.75        Avg: 3186.26 (311.49)    | [MSE_tr]  0.1588    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.141 0.202 0.277 0.391]
Step   40000 (bc16.4)s  | [R_te] min: 3588.70         max: 3980.68        Avg: 3813.50 (40.20)     | [MSE_tr]  0.1576    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.141 0.203 0.279 0.389]
Step   41000 (bc16.7)s  | [R_te] min: 3593.94         max: 4062.45        Avg: 3796.73 (37.31)     | [MSE_tr]  0.1573    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.140 0.203 0.277 0.387]
Step   42000 (bc16.7)s  | [R_te] min: 2994.73         max: 3993.07        Avg: 3775.05 (87.25)     | [MSE_tr]  0.1565    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.140 0.201 0.278 0.387]
Step   43000 (bc16.6)s  | [R_te] min: 3669.35         max: 3959.57        Avg: 3809.48 (30.15)     | [MSE_tr]  0.1566    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.140 0.202 0.277 0.389]
Step   44000 (bc16.5)s  | [R_te] min: 796.07          max: 4140.46        Avg: 3461.05 (300.65)    | [MSE_tr]  0.1560    | w_noise: [0.001 0.001 0.001 0.009 0.029 0.089 0.139 0.201 0.276 0.388]
Step   45000 (bc16.8)s  | [R_te] min: 379.26          max: 3901.92        Avg: 3029.09 (346.41)    | [MSE_tr]  0.1552    | w_noise: [0.001 0.001 0.001 0.009 0.029 0.089 0.140 0.201 0.276 0.389]
Step   46000 (bc16.9)s  | [R_te] min: 592.93          max: 3757.77        Avg: 3153.38 (321.27)    | [MSE_tr]  0.1546    | w_noise: [0.001 0.001 0.001 0.009 0.029 0.089 0.139 0.201 0.276 0.388]
Step   47000 (bc16.8)s  | [R_te] min: 3641.51         max: 3980.83        Avg: 3818.61 (38.66)     | [MSE_tr]  0.1547    | w_noise: [0.001 0.001 0.001 0.009 0.029 0.088 0.140 0.202 0.275 0.388]
Step   48000 (bc16.5)s  | [R_te] min: 3446.21         max: 4121.32        Avg: 3754.01 (58.23)     | [MSE_tr]  0.1538    | w_noise: [0.001 0.001 0.001 0.009 0.029 0.089 0.140 0.202 0.276 0.389]
