Step       0 (bc0.0)s   | [R_te] min: 19.96           max: 20.77          Avg: 20.28 (0.07)        | [MSE_tr]  0.5009   
Step   97000 (bc5.5)s   | [R_te] min: 472.28          max: 4382.19        Avg: 2077.56 (481.39)    | [MSE_tr]  0.2178   
Step   98000 (bc5.5)s   | [R_te] min: 206.07          max: 4512.76        Avg: 2429.30 (537.48)    | [MSE_tr]  0.2178   
Step   99000 (bc5.5)s   | [R_te] min: 638.80          max: 4351.97        Avg: 3528.50 (379.71)    | [MSE_tr]  0.2180   
Step  100000 (bc5.5)s   | [R_te] min: 467.98          max: 4323.83        Avg: 2639.77 (555.61)    | [MSE_tr]  0.2178   
Step  101000 (bc5.5)s   | [R_te] min: 329.67          max: 4459.52        Avg: 2292.84 (545.21)    | [MSE_tr]  0.2184   
Step  102000 (bc5.5)s   | [R_te] min: 245.68          max: 4491.05        Avg: 2411.66 (600.23)    | [MSE_tr]  0.2180   
Step  103000 (bc5.5)s   | [R_te] min: 351.55          max: 4523.12        Avg: 2755.24 (602.52)    | [MSE_tr]  0.2184   
Step  104000 (bc5.4)s   | [R_te] min: 406.45          max: 4423.73        Avg: 2440.06 (523.69)    | [MSE_tr]  0.2181   
Step  105000 (bc5.4)s   | [R_te] min: 358.56          max: 4567.33        Avg: 3208.70 (574.30)    | [MSE_tr]  0.2184   
Step  106000 (bc5.5)s   | [R_te] min: 198.24          max: 4383.58        Avg: 2483.77 (567.84)    | [MSE_tr]  0.2185   
Step  107000 (bc5.3)s   | [R_te] min: 385.79          max: 4556.36        Avg: 3514.67 (495.32)    | [MSE_tr]  0.2181   
Step  108000 (bc5.4)s   | [R_te] min: 313.20          max: 4185.06        Avg: 2814.17 (404.82)    | [MSE_tr]  0.2182   
Step  109000 (bc5.5)s   | [R_te] min: 448.50          max: 4487.56        Avg: 3821.99 (361.81)    | [MSE_tr]  0.2186   
Step  110000 (bc5.3)s   | [R_te] min: 296.62          max: 4483.30        Avg: 2210.95 (540.74)    | [MSE_tr]  0.2182   
Step  111000 (bc5.4)s   | [R_te] min: 237.18          max: 4064.38        Avg: 2366.66 (540.09)    | [MSE_tr]  0.2182   
Step  112000 (bc5.5)s   | [R_te] min: 404.16          max: 4215.05        Avg: 1889.49 (479.12)    | [MSE_tr]  0.2187   
Step  113000 (bc5.4)s   | [R_te] min: 364.41          max: 4335.87        Avg: 1786.95 (475.79)    | [MSE_tr]  0.2187   
Step  114000 (bc5.4)s   | [R_te] min: 445.47          max: 4400.74        Avg: 2702.79 (496.69)    | [MSE_tr]  0.2188   
Step  115000 (bc5.4)s   | [R_te] min: 705.29          max: 4339.60        Avg: 2109.17 (426.43)    | [MSE_tr]  0.2186   
Step  116000 (bc5.4)s   | [R_te] min: 228.38          max: 4559.13        Avg: 2108.59 (586.61)    | [MSE_tr]  0.2192   
Step  117000 (bc5.4)s   | [R_te] min: 342.53          max: 4207.49        Avg: 2391.10 (439.56)    | [MSE_tr]  0.2187   
Step  118000 (bc5.4)s   | [R_te] min: 487.20          max: 4452.25        Avg: 2786.18 (488.45)    | [MSE_tr]  0.2193   
Step  119000 (bc5.4)s   | [R_te] min: 466.46          max: 4474.97        Avg: 2842.88 (484.37)    | [MSE_tr]  0.2189   
Step  120000 (bc5.4)s   | [R_te] min: 455.70          max: 2687.19        Avg: 1306.10 (275.80)    | [MSE_tr]  0.2191   
Step  121000 (bc5.5)s   | [R_te] min: 303.17          max: 4451.91        Avg: 1807.75 (448.11)    | [MSE_tr]  0.2189   
Step  122000 (bc5.5)s   | [R_te] min: 478.37          max: 4441.10        Avg: 2262.59 (483.33)    | [MSE_tr]  0.2191   
Step  123000 (bc5.5)s   | [R_te] min: 306.42          max: 4384.08        Avg: 2586.08 (483.69)    | [MSE_tr]  0.2189   
Step  124000 (bc5.5)s   | [R_te] min: 238.05          max: 4279.23        Avg: 2357.32 (469.70)    | [MSE_tr]  0.2192   
Step  125000 (bc5.5)s   | [R_te] min: 271.42          max: 4523.83        Avg: 2461.93 (583.87)    | [MSE_tr]  0.2193   
Step  126000 (bc5.5)s   | [R_te] min: 407.12          max: 4485.80        Avg: 2636.57 (522.23)    | [MSE_tr]  0.2190   
Step  127000 (bc5.4)s   | [R_te] min: 274.64          max: 4569.45        Avg: 2916.68 (566.60)    | [MSE_tr]  0.2191   
Step  128000 (bc5.5)s   | [R_te] min: 280.53          max: 4341.98        Avg: 2267.14 (552.62)    | [MSE_tr]  0.2192   
Step  129000 (bc5.5)s   | [R_te] min: 562.79          max: 4480.03        Avg: 3292.73 (415.62)    | [MSE_tr]  0.2191   
Step  130000 (bc5.0)s   | [R_te] min: 275.44          max: 4445.11        Avg: 2356.43 (534.95)    | [MSE_tr]  0.2192   
Step  131000 (bc5.1)s   | [R_te] min: 283.29          max: 4557.47        Avg: 2018.30 (595.88)    | [MSE_tr]  0.2192   
Step  132000 (bc5.2)s   | [R_te] min: 362.60          max: 4497.29        Avg: 3128.54 (565.15)    | [MSE_tr]  0.2194   
Step  133000 (bc5.1)s   | [R_te] min: 245.01          max: 4403.00        Avg: 2371.59 (540.28)    | [MSE_tr]  0.2194   
Step  134000 (bc5.0)s   | [R_te] min: 393.75          max: 4099.23        Avg: 2067.16 (412.89)    | [MSE_tr]  0.2195   
Step  135000 (bc5.1)s   | [R_te] min: 431.16          max: 4161.97        Avg: 1707.43 (491.17)    | [MSE_tr]  0.2203   
Step  136000 (bc5.1)s   | [R_te] min: 299.19          max: 4427.99        Avg: 1982.26 (574.33)    | [MSE_tr]  0.2195   
Step  137000 (bc5.2)s   | [R_te] min: 393.84          max: 4453.29        Avg: 3203.79 (523.88)    | [MSE_tr]  0.2195   
Step  138000 (bc5.2)s   | [R_te] min: 274.20          max: 4575.26        Avg: 2006.13 (520.39)    | [MSE_tr]  0.2195   
Step  139000 (bc5.2)s   | [R_te] min: 459.89          max: 3992.63        Avg: 2625.38 (451.91)    | [MSE_tr]  0.2201   
Step  140000 (bc5.1)s   | [R_te] min: 265.03          max: 4015.61        Avg: 1558.68 (419.08)    | [MSE_tr]  0.2197   
Step  141000 (bc5.1)s   | [R_te] min: 374.34          max: 4174.16        Avg: 1226.98 (461.42)    | [MSE_tr]  0.2202   
Step  142000 (bc5.1)s   | [R_te] min: 469.08          max: 4396.86        Avg: 2725.62 (490.19)    | [MSE_tr]  0.2198   
Step  143000 (bc5.1)s   | [R_te] min: 483.95          max: 3913.84        Avg: 1618.97 (382.57)    | [MSE_tr]  0.2196   
Step  144000 (bc5.1)s   | [R_te] min: 461.47          max: 4297.50        Avg: 1818.75 (517.45)    | [MSE_tr]  0.2200   
Step  145000 (bc5.1)s   | [R_te] min: 250.47          max: 2559.77        Avg: 1103.28 (244.92)    | [MSE_tr]  0.2196   
Step  146000 (bc5.1)s   | [R_te] min: 411.77          max: 4443.31        Avg: 1746.80 (487.16)    | [MSE_tr]  0.2204   
Step  147000 (bc5.2)s   | [R_te] min: 268.31          max: 4154.68        Avg: 1261.75 (400.04)    | [MSE_tr]  0.2201   
Step  148000 (bc5.1)s   | [R_te] min: 252.35          max: 4233.47        Avg: 1479.06 (454.37)    | [MSE_tr]  0.2204   
Step  149000 (bc5.0)s   | [R_te] min: 350.72          max: 4420.66        Avg: 2717.58 (546.77)    | [MSE_tr]  0.2201   
Step  150000 (bc5.1)s   | [R_te] min: 391.41          max: 4185.72        Avg: 1629.83 (433.29)    | [MSE_tr]  0.2202   
Step  151000 (bc5.0)s   | [R_te] min: 274.55          max: 4265.06        Avg: 1898.85 (507.37)    | [MSE_tr]  0.2207   
Step  152000 (bc5.0)s   | [R_te] min: 238.76          max: 4126.72        Avg: 1384.15 (436.17)    | [MSE_tr]  0.2206   
Step  153000 (bc5.0)s   | [R_te] min: 241.85          max: 4010.45        Avg: 1259.98 (365.23)    | [MSE_tr]  0.2203   
Step  154000 (bc5.1)s   | [R_te] min: 438.90          max: 3086.68        Avg: 793.64 (244.27)     | [MSE_tr]  0.2201   
Step  155000 (bc5.1)s   | [R_te] min: 249.21          max: 4394.22        Avg: 1724.91 (531.34)    | [MSE_tr]  0.2203   
